rxn_IDs	rxnNames	K_score	grRules	rxn_formula
PYK_EXP_1	pyruvate kinase	1.06270633461487	XNR_1410	ADP[c] + H+[c] + Phosphoenolpyruvate[c] + 0.0043981 prot_WP_003950936.1[c] => ATP[c] + Pyruvate[c]
ENO_EXP_2	enolase	1.0317126844599	XNR_2219	D-Glycerate 2-phosphate[c] + 0.23835 prot_WP_003950127.1[c] => H2O[c] + Phosphoenolpyruvate[c]
GAPD_EXP_2	glyceraldehyde-3-phosphate dehydrogenase	1.0317126844599	XNR_3771	Glyceraldehyde 3-phosphate[c] + Nicotinamide adenine dinucleotide[c] + Phosphate[c] + 1.5133 prot_WP_003948601.1[c] => 3-Phospho-D-glyceroyl phosphate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c]
PGK_REV	phosphoglycerate kinase (reversible)	1.0317126844599	XNR_4920	3-Phospho-D-glyceroyl phosphate[c] + ADP[c] + 0.0044206 prot_WP_003947460.1[c] => 3-Phospho-D-glycerate[c] + ATP[c]
PGM_REV_EXP_1	phosphoglycerate mutase (reversible)	1.0317126844599	XNR_3385	3-Phospho-D-glycerate[c] + 0.0024516 prot_WP_003948988.1[c] => D-Glycerate 2-phosphate[c]
TPI	triose-phosphate isomerase	1.02933085282393	XNR_4921	Dihydroxyacetone phosphate[c] + 0.010201 prot_WP_010637073.1[c] => Glyceraldehyde 3-phosphate[c]
PFK_EXP_2	phosphofructokinase	1.02344208796415	XNR_5592	ATP[c] + D-Fructose 6-phosphate[c] + 0.030432 prot_WP_003946794.1[c] => ADP[c] + D-Fructose 1,6-bisphosphate[c] + H+[c]
PGI	glucose-6-phosphate isomerase	1.00887951275721	XNR_4924	D-Glucose 6-phosphate[c] + 0.0061238 prot_WP_015508056.1[c] => D-Fructose 6-phosphate[c]
S2FE2SR	SUF [2Fe-2S] regeneration	0.75	XNR_4937 and XNR_4940 and XNR_4938 and XNR_4941	[2Fe-1S] desulfurated iron-sulfur cluster[c] + ATP[c] + H2O[c] + SufBCD scaffold complex[c] + SufSE with bound sulfur[c] + 0.16507 prot_WP_003947439.1[c] + 0.25528 prot_WP_003947441.1[c] + 0.31605 prot_WP_003947442.1[c] + 0.27775 prot_WP_008406098.1[c] => ADP[c] + 5 H+[c] + Phosphate[c] + SufBCD with bound [2Fe-2S] cluster[c] + SufSE sulfur acceptor complex[c]
S2FE2SS	SUF [2Fe-2S] Synthesis	0.75	XNR_4937 and XNR_4940 and XNR_4938 and XNR_4941	ATP[c] + Flavin adenine dinucleotide reduced[c] + 2 Fe2+[c] + H2O[c] + SufBCD scaffold complex[c] + 2 SufSE with bound sulfur[c] + 0.16507 prot_WP_003947439.1[c] + 0.25528 prot_WP_003947441.1[c] + 0.31605 prot_WP_003947442.1[c] + 0.27775 prot_WP_008406098.1[c] => ADP[c] + Flavin adenine dinucleotide oxidized[c] + 7 H+[c] + Phosphate[c] + SufBCD with bound [2Fe-2S] cluster[c] + 2 SufSE sulfur acceptor complex[c]
S4FE4ST	SUF [4Fe-4S] Transfer	0.75	XNR_4937 and XNR_4940 and XNR_4938	4 H+[c] + SufBCD with bound [4Fe-4S] cluster[c] => [4Fe-4S] iron-sulfur cluster[c] + SufBCD scaffold complex[c]
SDPTA_REV_EXP_2	succinyldiaminopimelate transaminase (reversible)	0.75	XNR_5268	L-Glutamate[c] + N-Succinyl-2-L-amino-6-oxoheptanedioate[c] + 0.49049 prot_WP_003947120.1[c] => 2-Oxoglutarate[c] + N-Succinyl-LL-2,6-diaminoheptanedioate[c]
S2FE2SS2	SUF [2Fe-2S] Synthesis II	0.75	XNR_4937 and XNR_4940 and XNR_4938 and XNR_4941	ATP[c] + Flavin adenine dinucleotide reduced[c] + 2 Fe2+[c] + H2O[c] + SufBCD with bound [2Fe-2S] cluster[c] + 2 SufSE with bound sulfur[c] + 0.16507 prot_WP_003947439.1[c] + 0.25528 prot_WP_003947441.1[c] + 0.31605 prot_WP_003947442.1[c] + 0.27775 prot_WP_008406098.1[c] => ADP[c] + Flavin adenine dinucleotide oxidized[c] + 7 H+[c] + Phosphate[c] + SufBCD with two bound [2Fe-2S] clusters[c] + 2 SufSE sulfur acceptor complex[c]
S4FE4SR	SUF [4Fe-4S] Reduction	0.75	XNR_4937 and XNR_4940 and XNR_4938	Flavin adenine dinucleotide reduced[c] + 2 H+[c] + SufBCD with two bound [2Fe-2S] clusters[c] + 1.4495 prot_WP_003947439.1[c] + 2.2415 prot_WP_003947441.1[c] + 2.7752 prot_WP_003947442.1[c] => Flavin adenine dinucleotide oxidized[c] + SufBCD with bound [4Fe-4S] cluster[c]
AGT	alanine:glyoxylate aminotransferase;alanine--glyoxylate aminotransferase;serine--pyruvate aminotransferase	0.749999999999897	XNR_5268	L-Alanine[c] + Glyoxylate[c] + 0.49049 prot_WP_003947120.1[c] => Glycine[c] + Pyruvate[c]
PPDK_REV	Pyruvate,phosphate dikinase (reversible)	0.142987227607148	XNR_4449	AMP[c] + H+[c] + Phosphoenolpyruvate[c] + Diphosphate[c] + 0.31913 prot_WP_003947924.1[c] => ATP[c] + Phosphate[c] + Pyruvate[c]
NADH17b_EXP_3	NADH dehydrogenase (menaquinone-9 & 3 protons)	0.0674488647874607	XNR_3630 and XNR_3631 and XNR_3467 and XNR_3638 and XNR_3640 and XNR_3685 and XNR_3643 and XNR_3632 and XNR_3634 and XNR_3635 and XNR_3636 and XNR_3637 and XNR_3639 and XNR_3641	4 H+[c] + Menaquinone 9[c] + Nicotinamide adenine dinucleotide - reduced[c] + 0.17991 prot_WP_003948681.1[c] + 0.19152 prot_WP_003948724.1[c] + 0.22466 prot_WP_003948726.1[c] + 0.035361 prot_WP_003948727.1[c] + 0.096608 prot_WP_003948728.1[c] + 0.17073 prot_WP_003948730.1[c] + 0.29818 prot_WP_003948731.1[c] + 0.093488 prot_WP_003948735.1[c] + 0.067014 prot_WP_003948736.1[c] + 0.04404 prot_WP_003948737.1[c] + 0.14155 prot_WP_003948904.1[c] + 0.082862 prot_WP_008408177.1[c] + 0.098979 prot_WP_030772685.1[c] + 0.16454 prot_WP_174905219.1[c] => 3 H+[e] + Menaquinol 9[c] + Nicotinamide adenine dinucleotide[c]
S2FE2ST	SUF [2Fe-2S] Transfer	-0.0750345389695282	XNR_4937 and XNR_4940 and XNR_4938	4 H+[c] + SufBCD with bound [2Fe-2S] cluster[c] => [2Fe-2S] iron-sulfur cluster[c] + SufBCD scaffold complex[c]
ACOTA_REV	acetylornithine transaminase (reversible)	-Inf	XNR_5268	N-Acetyl-L-glutamate 5-semialdehyde[c] + L-Glutamate[c] + 0.49049 prot_WP_003947120.1[c] => N2-Acetyl-L-ornithine[c] + 2-Oxoglutarate[c]
